id,teks,label,tokoh
122,131,netral,Anies Baswedan
123,133,netral,Anies Baswedan
124,134,netral,Anies Baswedan
125,135,netral,Anies Baswedan
126,136,netral,Anies Baswedan
127,138,netral,Anies Baswedan
128,139,netral,Anies Baswedan
129,140,netral,Anies Baswedan
130,141,netral,Anies Baswedan
131,142,netral,Anies Baswedan
132,143,netral,Anies Baswedan
133,144,netral,Anies Baswedan
134,145,netral,Anies Baswedan
135,146,netral,Anies Baswedan
136,147,netral,Anies Baswedan
137,148,netral,Anies Baswedan
138,149,netral,Anies Baswedan
139,150,netral,Anies Baswedan
140,151,netral,Anies Baswedan
141,152,netral,Anies Baswedan
142,153,netral,Anies Baswedan
143,154,netral,Anies Baswedan
144,155,netral,Anies Baswedan
145,156,netral,Anies Baswedan
146,157,netral,Anies Baswedan
147,158,netral,Anies Baswedan
148,159,netral,Anies Baswedan
149,160,netral,Anies Baswedan
150,161,netral,Anies Baswedan
151,162,netral,Anies Baswedan
152,163,netral,Anies Baswedan
153,164,netral,Anies Baswedan
154,165,netral,Anies Baswedan
155,166,netral,Anies Baswedan
156,168,netral,Anies Baswedan
157,169,netral,Anies Baswedan
158,170,netral,Anies Baswedan
159,172,netral,Anies Baswedan
160,174,netral,Anies Baswedan
161,175,netral,Anies Baswedan
162,176,netral,Anies Baswedan
163,177,netral,Anies Baswedan
164,179,netral,Anies Baswedan
165,180,netral,Anies Baswedan
166,183,netral,Anies Baswedan
167,184,netral,Anies Baswedan
168,186,netral,Anies Baswedan
169,187,netral,Anies Baswedan
170,188,netral,Anies Baswedan
171,189,netral,Anies Baswedan
172,190,netral,Anies Baswedan
173,191,netral,Anies Baswedan
174,192,netral,Anies Baswedan
175,193,netral,Anies Baswedan
176,194,netral,Anies Baswedan
177,195,netral,Anies Baswedan
178,196,netral,Anies Baswedan
179,198,netral,Anies Baswedan
180,200,netral,Anies Baswedan
181,201,netral,Anies Baswedan
182,202,netral,Anies Baswedan
183,203,netral,Anies Baswedan
184,204,netral,Anies Baswedan
185,206,netral,Anies Baswedan
186,207,netral,Anies Baswedan
187,208,netral,Anies Baswedan
188,209,netral,Anies Baswedan
189,210,netral,Anies Baswedan
190,211,netral,Anies Baswedan
191,212,netral,Anies Baswedan
192,213,netral,Anies Baswedan
193,214,netral,Anies Baswedan
194,215,netral,Anies Baswedan
195,216,netral,Anies Baswedan
196,217,netral,Anies Baswedan
197,218,netral,Anies Baswedan
198,219,netral,Anies Baswedan
199,220,netral,Anies Baswedan
200,221,netral,Anies Baswedan
201,222,netral,Anies Baswedan
202,223,netral,Anies Baswedan
203,224,netral,Anies Baswedan
204,225,netral,Anies Baswedan
205,226,netral,Anies Baswedan
206,227,netral,Anies Baswedan
207,228,netral,Anies Baswedan
208,229,netral,Anies Baswedan
209,230,netral,Anies Baswedan
210,231,netral,Anies Baswedan
211,232,netral,Anies Baswedan
212,233,netral,Anies Baswedan
213,234,netral,Anies Baswedan
214,235,netral,Anies Baswedan
215,236,netral,Anies Baswedan
216,237,netral,Anies Baswedan
217,238,netral,Anies Baswedan
218,239,netral,Anies Baswedan
219,240,netral,Anies Baswedan
220,241,netral,Anies Baswedan
221,242,netral,Anies Baswedan
222,243,netral,Anies Baswedan
223,244,netral,Anies Baswedan
224,245,netral,Anies Baswedan
225,246,netral,Anies Baswedan
226,247,netral,Anies Baswedan
227,250,netral,Anies Baswedan
228,251,netral,Anies Baswedan
229,252,netral,Anies Baswedan
230,253,netral,Anies Baswedan
231,254,netral,Anies Baswedan
232,264,netral,Anies Baswedan
233,265,netral,Anies Baswedan
234,266,netral,Anies Baswedan
235,267,netral,Anies Baswedan
236,268,netral,Anies Baswedan
237,270,netral,Anies Baswedan
238,272,netral,Anies Baswedan
239,273,netral,Anies Baswedan
240,276,netral,Anies Baswedan
241,277,netral,Anies Baswedan
242,278,netral,Anies Baswedan
243,279,netral,Anies Baswedan
244,280,netral,Anies Baswedan
245,281,netral,Anies Baswedan
246,282,netral,Anies Baswedan
247,283,netral,Anies Baswedan
248,284,netral,Anies Baswedan
249,285,netral,Anies Baswedan
250,286,netral,Anies Baswedan
251,287,netral,Anies Baswedan
252,288,netral,Anies Baswedan
253,289,netral,Anies Baswedan
254,290,netral,Anies Baswedan
255,291,netral,Anies Baswedan
256,292,netral,Anies Baswedan
257,293,netral,Anies Baswedan
258,294,netral,Anies Baswedan
259,295,netral,Anies Baswedan
260,296,netral,Anies Baswedan
261,297,netral,Anies Baswedan
262,298,netral,Anies Baswedan
263,299,netral,Anies Baswedan
264,300,netral,Anies Baswedan
265,301,netral,Anies Baswedan
266,302,netral,Anies Baswedan
267,303,netral,Anies Baswedan
268,304,netral,Anies Baswedan
269,305,netral,Anies Baswedan
270,306,netral,Anies Baswedan
271,307,netral,Anies Baswedan
272,308,netral,Anies Baswedan
273,309,netral,Anies Baswedan
274,310,netral,Anies Baswedan
275,311,netral,Anies Baswedan
276,312,netral,Anies Baswedan
277,313,netral,Anies Baswedan
278,314,netral,Anies Baswedan
279,315,netral,Anies Baswedan
280,316,netral,Anies Baswedan
281,317,netral,Anies Baswedan
282,318,netral,Anies Baswedan
283,319,netral,Anies Baswedan
284,320,netral,Anies Baswedan
285,321,netral,Anies Baswedan
286,322,netral,Anies Baswedan
287,326,netral,Anies Baswedan
288,328,netral,Anies Baswedan
289,329,netral,Anies Baswedan
290,330,netral,Anies Baswedan
291,333,netral,Anies Baswedan
292,334,netral,Anies Baswedan
293,335,netral,Anies Baswedan
294,337,netral,Anies Baswedan
295,339,netral,Anies Baswedan
296,340,netral,Anies Baswedan
297,342,netral,Anies Baswedan
298,343,netral,Anies Baswedan
299,344,netral,Anies Baswedan
300,345,netral,Anies Baswedan
301,347,netral,Anies Baswedan
302,350,netral,Anies Baswedan
303,351,netral,Anies Baswedan
304,352,netral,Anies Baswedan
305,353,netral,Anies Baswedan
306,356,netral,Anies Baswedan
307,357,netral,Anies Baswedan
308,358,netral,Anies Baswedan
309,359,netral,Anies Baswedan
310,361,netral,Anies Baswedan
311,363,netral,Anies Baswedan
312,364,netral,Anies Baswedan
313,365,netral,Anies Baswedan
314,366,netral,Anies Baswedan
315,367,netral,Anies Baswedan
316,369,netral,Anies Baswedan
317,370,netral,Anies Baswedan
318,371,netral,Anies Baswedan
319,372,netral,Anies Baswedan
320,373,netral,Anies Baswedan
321,375,netral,Anies Baswedan
322,376,netral,Anies Baswedan
323,377,netral,Anies Baswedan
324,378,netral,Anies Baswedan
325,379,netral,Anies Baswedan
326,380,netral,Anies Baswedan
327,381,netral,Anies Baswedan
328,382,netral,Anies Baswedan
329,383,netral,Anies Baswedan
330,384,netral,Anies Baswedan
331,385,netral,Anies Baswedan
332,386,netral,Anies Baswedan
333,387,netral,Anies Baswedan
334,388,netral,Anies Baswedan
335,389,netral,Anies Baswedan
336,390,netral,Anies Baswedan
337,391,netral,Anies Baswedan
338,392,netral,Anies Baswedan
339,393,netral,Anies Baswedan
340,394,netral,Anies Baswedan
341,396,netral,Anies Baswedan
342,397,netral,Anies Baswedan
343,398,netral,Anies Baswedan
344,399,netral,Anies Baswedan
345,400,netral,Anies Baswedan
346,401,netral,Anies Baswedan
347,402,netral,Anies Baswedan
348,403,netral,Anies Baswedan
349,404,netral,Anies Baswedan
350,405,netral,Anies Baswedan
351,406,netral,Anies Baswedan
352,407,netral,Anies Baswedan
353,408,netral,Anies Baswedan
354,409,netral,Anies Baswedan
355,410,netral,Anies Baswedan
356,411,netral,Anies Baswedan
357,412,netral,Anies Baswedan
358,413,netral,Anies Baswedan
359,414,netral,Anies Baswedan
360,415,netral,Anies Baswedan
361,416,netral,Anies Baswedan
362,417,netral,Anies Baswedan
363,418,netral,Anies Baswedan
364,420,netral,Anies Baswedan
365,421,netral,Anies Baswedan
366,422,netral,Anies Baswedan
367,423,netral,Anies Baswedan
368,424,netral,Anies Baswedan
369,425,netral,Anies Baswedan
370,426,netral,Anies Baswedan
371,427,netral,Anies Baswedan
372,428,netral,Anies Baswedan
373,429,netral,Anies Baswedan
374,430,netral,Anies Baswedan
375,431,netral,Anies Baswedan
376,432,netral,Anies Baswedan
377,433,netral,Anies Baswedan
378,434,netral,Anies Baswedan
379,436,netral,Anies Baswedan
380,437,netral,Anies Baswedan
381,439,netral,Anies Baswedan
382,440,netral,Anies Baswedan
383,441,netral,Anies Baswedan
384,442,netral,Anies Baswedan
385,443,netral,Anies Baswedan
386,444,netral,Anies Baswedan
387,446,netral,Anies Baswedan
388,447,netral,Anies Baswedan
389,448,netral,Anies Baswedan
390,449,netral,Anies Baswedan
391,450,netral,Anies Baswedan
392,451,netral,Anies Baswedan
393,452,netral,Anies Baswedan
394,453,netral,Anies Baswedan
395,454,netral,Anies Baswedan
396,455,netral,Anies Baswedan
397,456,netral,Anies Baswedan
398,457,netral,Anies Baswedan
399,458,netral,Anies Baswedan
400,459,netral,Anies Baswedan
401,460,netral,Anies Baswedan
402,461,netral,Anies Baswedan
403,462,netral,Anies Baswedan
404,463,netral,Anies Baswedan
405,464,netral,Anies Baswedan
406,465,netral,Anies Baswedan
407,466,netral,Anies Baswedan
408,467,netral,Anies Baswedan
409,468,netral,Anies Baswedan
410,469,netral,Anies Baswedan
411,470,netral,Anies Baswedan
412,471,netral,Anies Baswedan
413,472,netral,Anies Baswedan
414,473,netral,Anies Baswedan
415,474,netral,Anies Baswedan
416,475,netral,Anies Baswedan
417,476,netral,Anies Baswedan
418,477,netral,Anies Baswedan
419,478,netral,Anies Baswedan
420,479,netral,Anies Baswedan
421,480,netral,Anies Baswedan
422,481,netral,Anies Baswedan
423,482,netral,Anies Baswedan
424,483,netral,Anies Baswedan
425,484,netral,Anies Baswedan
426,485,netral,Anies Baswedan
427,486,netral,Anies Baswedan
428,487,netral,Anies Baswedan
429,488,netral,Anies Baswedan
430,489,netral,Anies Baswedan
431,490,netral,Anies Baswedan
432,491,netral,Anies Baswedan
433,492,netral,Anies Baswedan
434,493,netral,Anies Baswedan
435,494,netral,Anies Baswedan
436,495,netral,Anies Baswedan
437,496,netral,Anies Baswedan
438,497,netral,Anies Baswedan
439,498,netral,Anies Baswedan
440,499,netral,Anies Baswedan
441,500,netral,Anies Baswedan
442,501,netral,Anies Baswedan
443,502,netral,Anies Baswedan
444,504,netral,Anies Baswedan
445,505,netral,Anies Baswedan
446,506,netral,Anies Baswedan
447,507,netral,Anies Baswedan
448,509,netral,Anies Baswedan
449,511,netral,Anies Baswedan
450,512,netral,Anies Baswedan
451,513,netral,Anies Baswedan
452,514,netral,Anies Baswedan
453,515,netral,Anies Baswedan
454,516,netral,Anies Baswedan
455,517,netral,Anies Baswedan
456,518,netral,Anies Baswedan
457,519,netral,Anies Baswedan
458,520,netral,Anies Baswedan
459,522,netral,Anies Baswedan
460,523,netral,Anies Baswedan
461,524,netral,Anies Baswedan
462,525,netral,Anies Baswedan
463,527,netral,Anies Baswedan
464,528,netral,Anies Baswedan
465,529,netral,Anies Baswedan
466,530,netral,Anies Baswedan
467,531,netral,Anies Baswedan
468,532,netral,Anies Baswedan
469,533,netral,Anies Baswedan
470,534,netral,Anies Baswedan
471,535,netral,Anies Baswedan
472,536,netral,Anies Baswedan
473,537,netral,Anies Baswedan
474,538,netral,Anies Baswedan
475,539,netral,Anies Baswedan
476,540,netral,Anies Baswedan
477,541,netral,Anies Baswedan
478,542,netral,Anies Baswedan
479,543,netral,Anies Baswedan
480,544,netral,Anies Baswedan
481,545,netral,Anies Baswedan
482,546,netral,Anies Baswedan
483,547,netral,Anies Baswedan
484,548,netral,Anies Baswedan
485,549,netral,Anies Baswedan
486,558,netral,Anies Baswedan
487,570,netral,Anies Baswedan
488,571,netral,Anies Baswedan
489,572,netral,Anies Baswedan
490,573,netral,Anies Baswedan
491,582,netral,Anies Baswedan
492,583,netral,Anies Baswedan
493,584,netral,Anies Baswedan
494,585,netral,Anies Baswedan
495,586,netral,Anies Baswedan
496,587,netral,Anies Baswedan
497,588,netral,Anies Baswedan
498,589,netral,Anies Baswedan
499,590,netral,Anies Baswedan
500,591,netral,Anies Baswedan
501,592,netral,Anies Baswedan
502,593,netral,Anies Baswedan
503,594,netral,Anies Baswedan
504,595,netral,Anies Baswedan
505,596,netral,Anies Baswedan
506,597,netral,Anies Baswedan
507,598,netral,Anies Baswedan
508,599,netral,Anies Baswedan
509,600,netral,Anies Baswedan
510,601,netral,Anies Baswedan
511,602,netral,Anies Baswedan
512,603,netral,Anies Baswedan
513,604,netral,Anies Baswedan
514,606,netral,Anies Baswedan
515,607,netral,Anies Baswedan
516,608,netral,Anies Baswedan
517,609,netral,Anies Baswedan
518,610,netral,Anies Baswedan
519,611,netral,Anies Baswedan
520,612,netral,Anies Baswedan
521,613,netral,Anies Baswedan
522,614,netral,Anies Baswedan
523,615,netral,Anies Baswedan
524,616,netral,Anies Baswedan
525,617,netral,Anies Baswedan
526,618,netral,Anies Baswedan
527,619,netral,Anies Baswedan
528,620,netral,Anies Baswedan
529,621,netral,Anies Baswedan
530,622,netral,Anies Baswedan
531,623,netral,Anies Baswedan
532,624,netral,Anies Baswedan
533,625,netral,Anies Baswedan
534,626,netral,Anies Baswedan
535,627,netral,Anies Baswedan
536,628,netral,Anies Baswedan
537,629,netral,Anies Baswedan
538,630,netral,Anies Baswedan
539,631,netral,Anies Baswedan
540,632,netral,Anies Baswedan
541,633,netral,Anies Baswedan
542,634,netral,Anies Baswedan
543,635,netral,Anies Baswedan
544,636,netral,Anies Baswedan
545,639,netral,Anies Baswedan
546,640,netral,Anies Baswedan
547,641,netral,Anies Baswedan
548,642,netral,Anies Baswedan
549,643,netral,Anies Baswedan
550,644,netral,Anies Baswedan
551,645,netral,Anies Baswedan
552,646,netral,Anies Baswedan
553,647,netral,Anies Baswedan
554,648,netral,Anies Baswedan
555,649,netral,Anies Baswedan
556,650,netral,Anies Baswedan
557,651,netral,Anies Baswedan
558,652,netral,Anies Baswedan
559,653,netral,Anies Baswedan
560,654,netral,Anies Baswedan
561,655,netral,Anies Baswedan
562,656,netral,Anies Baswedan
563,657,netral,Anies Baswedan
564,658,netral,Anies Baswedan
565,659,netral,Anies Baswedan
566,660,netral,Anies Baswedan
567,661,netral,Anies Baswedan
568,662,netral,Anies Baswedan
569,663,netral,Anies Baswedan
570,664,netral,Anies Baswedan
571,665,netral,Anies Baswedan
572,666,netral,Anies Baswedan
573,667,netral,Anies Baswedan
574,668,netral,Anies Baswedan
575,669,netral,Anies Baswedan
576,670,netral,Anies Baswedan
577,671,netral,Anies Baswedan
578,672,netral,Anies Baswedan
579,673,netral,Anies Baswedan
580,674,netral,Anies Baswedan
581,675,netral,Anies Baswedan
582,676,netral,Anies Baswedan
583,677,netral,Anies Baswedan
584,678,netral,Anies Baswedan
585,679,netral,Anies Baswedan
586,680,netral,Anies Baswedan
587,681,netral,Anies Baswedan
588,682,netral,Anies Baswedan
589,684,netral,Anies Baswedan
590,685,netral,Anies Baswedan
591,686,netral,Anies Baswedan
592,687,netral,Anies Baswedan
593,688,netral,Anies Baswedan
594,689,netral,Anies Baswedan
595,690,netral,Anies Baswedan
596,692,netral,Anies Baswedan
597,693,netral,Anies Baswedan
598,698,netral,Anies Baswedan
599,699,netral,Anies Baswedan
600,700,netral,Anies Baswedan
601,701,netral,Anies Baswedan
602,702,netral,Anies Baswedan
603,703,netral,Anies Baswedan
604,704,netral,Anies Baswedan
605,705,netral,Anies Baswedan
606,706,netral,Anies Baswedan
607,707,netral,Anies Baswedan
608,708,netral,Anies Baswedan
609,709,netral,Anies Baswedan
610,710,netral,Anies Baswedan
611,711,netral,Anies Baswedan
612,712,netral,Anies Baswedan
613,713,netral,Anies Baswedan
614,714,netral,Anies Baswedan
615,718,netral,Anies Baswedan
616,719,netral,Anies Baswedan
617,720,netral,Anies Baswedan
618,721,netral,Anies Baswedan
619,722,netral,Anies Baswedan
620,723,netral,Anies Baswedan
621,724,netral,Anies Baswedan
622,725,netral,Anies Baswedan
623,726,netral,Anies Baswedan
624,727,netral,Anies Baswedan
625,728,netral,Anies Baswedan
626,729,netral,Anies Baswedan
627,730,netral,Anies Baswedan
628,731,netral,Anies Baswedan
629,732,netral,Anies Baswedan
630,733,netral,Anies Baswedan
631,734,netral,Anies Baswedan
632,735,netral,Anies Baswedan
633,736,netral,Anies Baswedan
634,737,netral,Anies Baswedan
635,739,netral,Anies Baswedan
636,740,netral,Anies Baswedan
637,741,netral,Anies Baswedan
638,742,netral,Anies Baswedan
639,743,netral,Anies Baswedan
640,744,netral,Anies Baswedan
641,745,netral,Anies Baswedan
642,746,netral,Anies Baswedan
643,747,netral,Anies Baswedan
644,748,netral,Anies Baswedan
645,749,netral,Anies Baswedan
646,750,netral,Anies Baswedan
647,751,netral,Anies Baswedan
648,752,netral,Anies Baswedan
649,753,netral,Anies Baswedan
650,754,netral,Anies Baswedan
651,755,netral,Anies Baswedan
652,756,netral,Anies Baswedan
653,757,netral,Anies Baswedan
654,758,netral,Anies Baswedan
655,759,netral,Anies Baswedan
656,760,netral,Anies Baswedan
657,761,netral,Anies Baswedan
658,762,netral,Anies Baswedan
659,763,netral,Anies Baswedan
660,764,netral,Anies Baswedan
661,766,netral,Anies Baswedan
662,767,netral,Anies Baswedan
663,768,netral,Anies Baswedan
664,769,netral,Anies Baswedan
665,770,netral,Anies Baswedan
666,772,netral,Anies Baswedan
667,773,netral,Anies Baswedan
668,774,netral,Anies Baswedan
669,775,netral,Anies Baswedan
670,776,netral,Anies Baswedan
671,778,netral,Anies Baswedan
672,779,netral,Anies Baswedan
673,780,netral,Anies Baswedan
674,781,netral,Anies Baswedan
675,782,netral,Anies Baswedan
676,783,netral,Anies Baswedan
677,785,netral,Anies Baswedan
678,786,netral,Anies Baswedan
679,787,netral,Anies Baswedan
680,788,netral,Anies Baswedan
681,789,netral,Anies Baswedan
682,790,netral,Anies Baswedan
683,791,netral,Anies Baswedan
684,792,netral,Anies Baswedan
685,793,netral,Anies Baswedan
686,794,netral,Anies Baswedan
687,795,netral,Anies Baswedan
688,796,netral,Anies Baswedan
689,797,netral,Anies Baswedan
690,798,netral,Anies Baswedan
691,799,netral,Anies Baswedan
692,800,netral,Anies Baswedan
693,801,netral,Anies Baswedan
694,802,netral,Anies Baswedan
695,803,netral,Anies Baswedan
696,804,netral,Anies Baswedan
697,805,netral,Anies Baswedan
698,806,netral,Anies Baswedan
699,807,netral,Anies Baswedan
700,808,netral,Anies Baswedan
701,809,netral,Anies Baswedan
702,810,netral,Anies Baswedan
703,811,netral,Anies Baswedan
704,813,netral,Anies Baswedan
705,814,netral,Anies Baswedan
706,816,netral,Anies Baswedan
707,817,netral,Anies Baswedan
708,818,netral,Anies Baswedan
709,820,netral,Anies Baswedan
710,821,netral,Anies Baswedan
711,822,netral,Anies Baswedan
712,823,netral,Anies Baswedan
713,824,netral,Anies Baswedan
714,825,netral,Anies Baswedan
715,827,netral,Anies Baswedan
716,828,netral,Anies Baswedan
717,829,netral,Anies Baswedan
718,830,netral,Anies Baswedan
719,832,netral,Anies Baswedan
720,833,netral,Anies Baswedan
721,834,netral,Anies Baswedan
722,835,netral,Anies Baswedan
723,836,netral,Anies Baswedan
724,839,netral,Anies Baswedan
725,840,netral,Anies Baswedan
726,842,netral,Anies Baswedan
727,843,netral,Anies Baswedan
728,844,netral,Anies Baswedan
729,845,netral,Anies Baswedan
730,846,netral,Anies Baswedan
731,847,netral,Anies Baswedan
732,848,netral,Anies Baswedan
733,849,netral,Anies Baswedan
734,850,netral,Anies Baswedan
735,851,netral,Anies Baswedan
736,852,netral,Anies Baswedan
737,853,netral,Anies Baswedan
738,854,netral,Anies Baswedan
739,855,netral,Anies Baswedan
740,856,netral,Anies Baswedan
741,857,netral,Anies Baswedan
742,858,netral,Anies Baswedan
743,860,netral,Anies Baswedan
744,861,netral,Anies Baswedan
745,862,netral,Anies Baswedan
746,863,netral,Anies Baswedan
747,864,netral,Anies Baswedan
748,865,netral,Anies Baswedan
749,866,netral,Anies Baswedan
750,867,netral,Anies Baswedan
751,868,netral,Anies Baswedan
752,869,netral,Anies Baswedan
753,870,netral,Anies Baswedan
754,871,netral,Anies Baswedan
755,872,netral,Anies Baswedan
756,873,netral,Anies Baswedan
757,874,netral,Anies Baswedan
758,875,netral,Anies Baswedan
759,876,netral,Anies Baswedan
760,877,netral,Anies Baswedan
761,878,netral,Anies Baswedan
762,879,netral,Anies Baswedan
763,880,netral,Anies Baswedan
764,881,netral,Anies Baswedan
765,882,netral,Anies Baswedan
766,883,netral,Anies Baswedan
767,884,netral,Anies Baswedan
768,886,netral,Anies Baswedan
769,887,netral,Anies Baswedan
770,888,netral,Anies Baswedan
771,889,netral,Anies Baswedan
772,890,netral,Anies Baswedan
773,891,netral,Anies Baswedan
774,893,netral,Anies Baswedan
775,894,netral,Anies Baswedan
776,895,netral,Anies Baswedan
777,896,netral,Anies Baswedan
778,897,netral,Anies Baswedan
779,898,netral,Anies Baswedan
780,899,netral,Anies Baswedan
781,900,netral,Anies Baswedan
782,901,netral,Anies Baswedan
783,902,netral,Anies Baswedan
784,903,netral,Anies Baswedan
785,904,netral,Anies Baswedan
786,905,netral,Anies Baswedan
787,906,netral,Anies Baswedan
788,907,netral,Anies Baswedan
789,908,netral,Anies Baswedan
790,909,netral,Anies Baswedan
791,910,netral,Anies Baswedan
792,911,netral,Anies Baswedan
793,912,netral,Anies Baswedan
794,913,netral,Anies Baswedan
795,914,netral,Anies Baswedan
796,916,netral,Anies Baswedan
797,917,netral,Anies Baswedan
798,918,netral,Anies Baswedan
799,919,netral,Anies Baswedan
800,920,netral,Anies Baswedan
801,921,netral,Anies Baswedan
802,922,netral,Anies Baswedan
803,923,netral,Anies Baswedan
804,924,netral,Anies Baswedan
805,926,netral,Anies Baswedan
806,928,netral,Anies Baswedan
807,929,netral,Anies Baswedan
808,930,netral,Anies Baswedan
809,931,netral,Anies Baswedan
810,932,netral,Anies Baswedan
811,933,netral,Anies Baswedan
812,935,netral,Anies Baswedan
813,936,netral,Anies Baswedan
814,937,netral,Anies Baswedan
815,938,netral,Anies Baswedan
816,939,netral,Anies Baswedan
817,941,netral,Anies Baswedan
818,942,netral,Anies Baswedan
819,943,netral,Anies Baswedan
820,944,netral,Anies Baswedan
821,945,netral,Anies Baswedan
822,946,netral,Anies Baswedan
823,947,netral,Anies Baswedan
824,948,netral,Anies Baswedan
825,949,netral,Anies Baswedan
826,950,netral,Anies Baswedan
827,951,netral,Anies Baswedan
828,952,netral,Anies Baswedan
829,953,netral,Anies Baswedan
830,954,netral,Anies Baswedan
831,955,netral,Anies Baswedan
832,956,netral,Anies Baswedan
833,957,netral,Anies Baswedan
834,958,netral,Anies Baswedan
835,959,netral,Anies Baswedan
836,960,netral,Anies Baswedan
837,962,netral,Anies Baswedan
838,963,netral,Anies Baswedan
839,964,netral,Anies Baswedan
840,965,netral,Anies Baswedan
841,966,netral,Anies Baswedan
842,967,netral,Anies Baswedan
843,968,netral,Anies Baswedan
844,969,netral,Anies Baswedan
845,970,netral,Anies Baswedan
846,971,netral,Anies Baswedan
847,972,netral,Anies Baswedan
848,973,netral,Anies Baswedan
849,974,netral,Anies Baswedan
850,975,netral,Anies Baswedan
851,977,netral,Anies Baswedan
852,978,netral,Anies Baswedan
853,980,netral,Anies Baswedan
854,981,netral,Anies Baswedan
855,982,netral,Anies Baswedan
856,983,netral,Anies Baswedan
857,986,netral,Anies Baswedan
858,987,netral,Anies Baswedan
859,988,netral,Anies Baswedan
860,990,netral,Anies Baswedan
861,991,netral,Anies Baswedan
862,993,netral,Anies Baswedan
863,995,netral,Anies Baswedan
864,996,netral,Anies Baswedan
865,997,netral,Anies Baswedan
866,1002,netral,Anies Baswedan
867,1004,netral,Anies Baswedan
868,1005,netral,Anies Baswedan
869,1007,netral,Anies Baswedan
870,1008,netral,Anies Baswedan
871,1009,netral,Anies Baswedan
872,1010,netral,Anies Baswedan
873,1012,netral,Anies Baswedan
