text,label
"what's different about a speech like this that can be delivered is the fact that it's not a statement that can only be made by promises, let alone by banging a table, especially if you just approach the president, you don't have to argue with him, break up, you guys",negatif
anies president ragunan,negatif
"the youth movement continues to move to embrace the weaving of indonesian nationality, change for a prosperous indonesia, anies president",positif
fast fast fast train,negatif
"mr. anies, which ustadz do you need to meet and the ustadz also knows who is worth meeting? barokallah, mr. anies and gus baha",positif
"god willing, it will be mr. anies president's will, whoever his opponent is, that in his destiny he will be the one who brings prosperity to the people of indonesia towards better change.",positif
gsp anies baswedan for president,positif
you used mosques and takjil as material for fake stories,negatif
"romadhon when charity is multiplied when prayers are answered, mr. anies goes into seclusion, god willing",positif
we pray that mrs. tatak remains healthy so that we can see mr. anies inaugurated as the republic of indonesia's first president,positif
"bismillah bi idznillah, may allah bless mr. anies to become president",positif
"just shut up, just pray for mr. anies to become president and then you buzzerrps won't be looking for packaged rice like this, cool",positif
"so far, the crook sitompul is not in his right mind if he continues to slander anies baswed and the president of the republic of indonesia",positif
hadrah festivals in east java province ishari nu gema abw via,positif
hadrah ramadan festival ishari nu gema abw,positif
"it's really great that for the president, anies is even more stable and okay",positif
"anies president ri, god willing, stay healthy, sir",positif
"jsp anies ahy, president and vice president of the republic of indonesia, when indonesia was almost on the brink of collapse, china asked the apbn to guarantee the high-speed train project",positif
"when i was in madinah, mashaallah, even the sellers in madinah knew that mr. bismillah, mr. anies was the president of biidznillah.",positif
samosir is patient with anies baswedan and the president of the republic of indonesia,positif
greetings of change and improvement for a better indonesia democrat jaya pancasila eternal anies baswedan ahy president and deputy ri in amen,positif
"anies president ri, god willing",positif
"movement for change towards a better indonesia, president anies",positif
jokowi's regime is really evil in fooling the people by violating the constitution just for the ambition of power. the people have a firm stance that the president elected in the election is anies baswed and only anies is the figure who will bring change to a better indonesia towards justice.,positif
"samosir, god willing, anies baswedan for president. may allah grant our prayers. hopefully, anies' election will not be rigged by unscrupulous people.",positif
"sane, thank god, the people's common sense desire to support and guard mr. anies is not mr. anies' wish, so you can also see the aura of the leader, the president is visible, amen.",positif
"firstly, the one i say is afraid of is bowo and his coalition, secondly, we don't love metro tv, but we love anies, who hopes to be president of the republic of indonesia, then thirdly, do you also love abu janda and ferdinand, who support bowo, because klen is already similar to mrkini, the new song is due to renewal.",positif
"the party stands together and is committed to building change for a better indonesia towards a new civilization. the party is an ambassador of civilization who supports the party in nominating anies rasyid baswedan as a presidential candidate. do you agree, fathur",positif
nakula broke out in millions of congregants shouting for anies president to,positif
"it's true that a trustworthy person is characterized by a sense of social concern & has solutions to overcome problems. there is no doubt that anies baswedan is supported by many members of the community who want change and improvement. come on, join the ranks of indonesia to call anies president with enthusiasm.",positif
"god willing, it will even increase if we continue to support anies as president",positif
"cent, please pray for mr ganjar pranowo to be elected by the people as president, not anies baswedan, i understand",negatif
"the coalition for democratic change, nasdem and pks, is ready for anies as president",positif
indonesian survey center isc senior researcher chairul ansari reveals four reasons why prabowo subianto is superior to ganjar pranowo and anies baswedan in the presidential candidate market survey for the upcoming election. prabowo subianto,negatif
inismyname fahnoor hopefully the attitude will be the same when anies is elected president,positif
"and anies baswedan in a survey regarding presidential candidates for the indonesian election, prabowo subianto",negatif
"in facing the presidential election, nasdem previously declared the former governor of dki jakarta, anies baswedan, as a presidential candidate, prabowo subianto.",positif
"in sha allah, anies will be the president of the republic of indonesia",positif
the latest survey regarding the presidential candidate market for the election conducted by the indonesian survey center isc found that prabowo subianto was ahead of ganjar pranowo and anies baswed and prabowo subianto,negatif
maybe the best in central java for the best in the archipelago this is the person anies for president cebong his usual angry behavior bae is real,positif
anies president,positif
"inismyname vote for ps vote for anies rasyid baswedan, god willing, president of the republic of indonesia for a term and amen, amen, amen",positif
"chairman of the democratic party's bpopkk dpp membership organization development and cadre board, herman khaeron, opens his voice regarding the issue of the coordinating minister for political, legal and security affairs, mahfud md, as anies baswedan's companion in the presidential election.",positif
"in the last few months compared to two candidates who are predicted to become presidential candidates in the presidential election, ganjar pranowo and anies baswedan prabowo subianto",negatif
"until now, he is still loyal to anies baswedan. for those who are still loyal, like comment and tweet with bismillah. anies baswedan will be the best president of the republic of indonesia.",positif
who is most worthy to be president of the republic of indonesia for the period of anies rasyid baswedan prabowo subianto ganjar pranowo total votes cast your vote click the link please forward to the group and your friends ok?,negatif
"o good people who are known to be solid, come on, follow the official account of pks and the president of pks to reach a million followers in elementary school, wednesday february, pks wins anies presidency, see the video ayiceo pesantrenpolitikcom",positif
"samosir marm i fully support prabowo, the presidential candidate of the republic of indonesia, while the president of the republic of indonesia will leave it to the competent person, namely anies rasyid baswedan.",positif
"civil society has become intelligent with that intelligence, its support for bung anies as president of business & efforts are made only because of allah alone and victory belongs only to him, barokalloh",positif
"it must be continued by the next president, therefore, don't vote for anies. jakarta has become a victim of anies' stupidity",negatif
caretaker pp darul ulum rejoso jombang blesses anies to become president at,positif
i support anies baswedan to become president,positif
"papazola, from the first president to today's president, no one has been able to fulfill their oath, the suffering of the motherland today is getting worse, god willing, help and blessings will soon bring bung anies as president, aamiiin",negatif
"if you're afraid of high-speed train financing, tell anies you don't need to take part in the presidential election in such a dangerous year, the president is a native indonesian.",negatif
"this is my name, anies baswedan, only intelligent young people will become president of the republic of indonesia",positif
"sane, god willing, anies baswedan will win, anies will be the president of the republic of indonesia, amen, lord",positif
later there will be a tweet of a photo of anis with mr kiyai entitled kiyai nu giving support to anies baswedan to run for president,positif
"i fully support prabowo etc. to run for president and for president of the republic of indonesia, still anies rb",positif
"i support prabowo etc. presidential candidates and for the president of the republic of indonesia, still anies rb",positif
hope pak prabowo will remain minister of defense when pak anies is president of indonesia,positif
"bahrawi this year, god willing, mr. anies baswedan will become president. if people are pious, religion is like a drum filled with water. if the water is filled a little, shake it, try it. the water is full, it doesn't shake at all. if a muslim is bad, insult another muslim. what is the name of that muslim?",positif
"bro anies, taking care of your health is the best. take care of people's honor. shaa allah, you will become president of the republic of indonesia",positif
i hope that later mr anies baswedan will become president,positif
"fahnoor inismyname how come i'm not sure i have more confidence in pak anies baswedan becoming president of the republic of indonesia in the future, the proof is look at the miniature of the republic of indonesia, namely jakarta which developed rapidly under the leadership of pak anies",positif
the president predicts that prabowo will definitely be punished by anies,negatif
"samosir's struggle requires courage and skill. the struggle requires sacrifice, mr anies president, towards becoming an indonesian super power",positif
anies the president of the republic of indonesia here,positif
"the positive effect of anies baswedan's candidacy as president, said the chairman of the national democratic party of serang city",positif
"romance agrees, the important thing is that anies is president this year",positif
"look at the people who were fired, anies jonan susi, rizal ramli, then compare them with the remaining people and it will be concluded that the president doesn't need to be a good and smart person, the important thing is to be able to lick",positif
"hope the president of the republic of indonesia, anies baswedan",positif
"amen, god willing, mr. anies rasyid baswedan, president of indonesia, then the changes will be real, for example, the kbbi will change according to mr. anies, corruption will be replaced by overpayments for spectacular development, one or two of the remaining changes to the existing names",positif
nng ok,positif
raffi and nagita's fate will not be much different from bohir who is currently busy securing the period if anies becomes president,positif
i will support anies for president of the republic of indonesia,positif
"god willing, the people will choose pak anies baswedan as president for the sake of change",positif
let buddies put their brains on bloon gasss pooollll for change anies for president act mad at him bong,negatif
pak moeldoko denied ahy's accusation that the pk review which was filed to prevent anies baswedan from being a presidential candidate had nothing to do with anies liking to hallucinate.,positif
"the vice president of the republic of indonesia and jusuf kalla jk admitted that he had proposed the name of the vice presidential candidate to the nasdem party's presidential candidate, anies baswedan jk, who revealed that there were two criteria that were suitable to accompany anies.",negatif
"a number of elements of society from academic backgrounds, entrepreneurs to millennial groups who joined the indonesian volunteer coalition of anies friends, declared their support for presidential candidate anies baswedan in the presidential election.",positif
"yes, anies for president is tough to fight against him because our supporters are just frog brains, it's better to just vote for anies instead of being embarrassed because there are already many sane people.",positif
prabowo puan vs anies khofifah who will be president of the republic of indonesia,negatif
"vote for anies baswedan for president, that's the message for change",positif
"my message to anies baswedan and president is that his choice is hot, ebong's ears",positif
support anies as president of the mosque because anies likes to narrate about himself in the mosque,negatif
"in a survey regarding presidential candidates for the general election, senior researcher from the indonesian survey center isc chairul ansari presented four reasons why prabowo subianto has an advantage over ganjar pranowo and anies baswedan",negatif
long live anies president ke,positif
"presidential election reward mahfud md prabowo eric thohir aniesandika perkasa, this is just the same as strong, we still choose prabowoeric thohir, gusdur said, it's time for the old prabowo to become president and president jokowi's support is also",negatif
"jokowi is trying in every possible way to thwart anies' plan to run as a presidential candidate, said nuim hidayat, firli bahuri's maneuver at the kpk to prosecute anies in the formula case.",negatif
"how do you want to be president? just declare that you haven't even bothered yet, just talk about it, it's proof that you're just dreaming, he's gasss, pooollll, for change, anies for president, cebong, sm buzzerrp, i've already got some small change, right?",positif
"on the other hand, the survey results from the indonesian survey institute lsi also show that the electability of the three potential presidential candidates in the election, namely ganjar pranowo, prabowo subianto and anies baswedan, is equally strong, prabowo subianto.",positif
it's better to choose the one that is definitely anies baswedan for president tv,negatif
and i advise you to choose anies baswedan for president more firmly,positif
"compared to the two candidates predicted to be presidential candidates in the presidential election, ganjar pranowo and anies baswedan prabowo subianto",negatif
and i really believe that anies will become president,positif
corruption spreads,negatif
viva politics indonesian survey center isc senior researcher chairul ansari explains four reasons why prabowo subianto is superior to ganjar pranowo and anies baswedan in a survey of the presidential candidate market for the election,negatif
"no matter how good your work is in the eyes of the haters, it's still bad aniesbaswedan aniesbaswedan",positif
"siti nurmarkesi is a golkar figure who is also the regent of kendal regency, central java.",positif
"don't vent, please, let's pray for anies to become president",positif
"if mr. sandi doesn't accept the proposal to be vice presidential candidate and remains deputy governor, he can become dki governor. if anies is elected president, he can become vice presidential candidate. anies can become president.",positif
chotimah ri buzzerp change is getting more panic and fear for anies baswedan and the president of the republic of indonesia,positif
buzzerp has lost his mind to slander anies baswedan and the president,positif
"aim for firli, don't let him see anies president's video",positif
"in fact, in the video there is no discussion regarding vice president maruf amin and king salman of saudi arabia supporting anies in the presidential election. the thumbnail image is the result of editing several different images. read more at",positif
youtube channel called indonesian political atmosphere uploaded a minute-long video with the title support for anies meroketbangbangraja slaman amp vice president support for success of anies in presidential election,positif
"one of the vice presidents, maruf amin and raja salman, supports anies in the presidential election",positif
knock,negatif
inismyname toktok,negatif
inismyname fahnoor toktoktok,negatif
"you just advise me not to let ps lead this country now. you tell me to support psapes, it's really alive, you know?",negatif
"first of all, loot this person if anies is president",positif
"i don't want to be disappointed that this time there will be a healthy and fair competition. god willing, mr. anies will be the president in",positif
"caretaker pp darul ulum rejoso jombang blesses anies to be president in togetherness in social justice for all the people of indonesia, central java mp volunteer",positif
"let's just pray that anies rasyid baswedan will become president of indonesia, amen",positif
"fahnoor, it's clear that i don't want to have a female president of arab descent who is supported by fpihtipapks and other kadrunistas, that's fine, if i don't see anies lose the presidential election, i won't be cured, wakakaakakakak",negatif
"in the presidential election, they shouted demanding that the next president continue the results of the previous regime, but the behavior of his mob in dki destroyed all of governor anies' achievements.",positif
presidential candidate who is always blasphemed and slandered by anies haters,positif
"the change is anies baswedan, let's elect him as president of the republic of indonesia for a period",positif
"god willing, mr anies, president of the republic of indonesia",positif
"regarding the aniessandi duet in the presidential election, the pks spokesperson is very likely, however, his party will still completely hand over the decision on the vice presidential candidate and vice presidential candidate to anies mp hero volunteer",positif
"open what is closed, amen, anies for president",positif
"as long as anies runs in the election, the devil from bani cebong like ade will always try his best to disrupt anies' candidacy as presidential candidate. the devil will get hot if a good person becomes president.",positif
gasss pooollll continue to change anies for president,positif
why are you trying to gasss pooollll for change anies for president don't be angry it's my choice it's up to you what you want to be prepared for what i think,positif
support anies baswedan for president of the republic of indonesia,positif
"the function of state-owned companies in the eyes of anies and aligned with the thoughts of the father of indonesian economics, bung hatta is the best president",positif
"let's be realistic, bro, indonesia, not only football, that's true, but swing voters are rewarded for switching, swing voters are definitely not loyal supporters, because reward now, you're the only remaining loyal supporters, you're going to keep kicking it to increase electability, sorry for the president, if not, prabowo, anies.",negatif
"andriana, i support mr. anies to become president of indonesia to jaya jaya jaya",positif
"diwangga didu ri, you are blind, there is a writing about the next president, if the matter is not yet official, become a presidential candidate, none of them are official, including anies oon",negatif
"when corruption is hailed as a sign that the country has been controlled by the mafia, please let the people judge",negatif
"that's good, national patriots don't do anything, it doesn't matter, the important thing is to do good according to our abilities for this nation, we need examples and change for this nation, anies for president",positif
luhut will be collateral for looters etc. if anies is president,positif
"god willing, anies, the president's agreement with china and his contract will definitely be cancelled, anies, like what happened in malaysia, when mahatir was elected pm, his former pm was looted.",positif
"it's funny, anies has the lowest survey, but every day the topic is just about anies, don't be anies, the most popular presidential candidate for miduk, digital traces of slander, insults, can be held accountable later in court, i hope anies becomes president.",positif
i hope mr. anies is president,positif
"in sha allah, mr. anies baswedan remains the president of the republic of indonesia",positif
"samosir, the general public increasingly understands that good people will have many tests in facing unjust people. they are feeling desperate because soon a leader will be born who is truly trustworthy to bring about change for the better. anies is a figure who is destined and mandated to be president.",positif
"breaking the fast with the residents of batuah village, south kalimantan, the residents of this village expressed their support for the president of the republic of indonesia",positif
"didu ri, if this is alms, sir, even though the photo is clearly displayed and there is writing about the president, the reason is because anies is not the perpetrator, but if it is anies, even if it is friday at the mosque, then your campaign is healthy, ri",negatif
anies for president,positif
"that's your word, not our word, the majority of whom want mr. anies to be president",positif
"yes, that's why they want to defend their nation, namely the unitary state of the republic of indonesia, so that in the future it will be more dignified and respected by friends and opponents. i believe that if mr. anies is elected president, god willing, the country will be peaceful.",positif
"many paid buzzers appear as the election approaches. anies is a fighter for the thieves, corrupt robbers who have experienced poverty for almost this year. the thieves will fight for anis so that anis will be elected president of yemen this year.",positif
"samosir, thank god, i got basic food from mr. anies' success team. i hope that mr. anies will be a stupid president, so his fast will be broken.",negatif
"realistically, facing a large coalition with a lot of power, anies needs a partner who is ready to support not only electability but also logistics. for me, whoever the vice presidential candidate is, it doesn't matter, the important thing is that anies wins as president in the political party election, you know the right strategy.",positif
"i want to have a president who is intelligent, visionary and trustworthy, anies baswedan and president of the republic of indonesia",positif
densy's attack on anies baswedan and the president of the republic of indonesia has failed,negatif
gasss pooollll keep going for change cebong sm buzzerrp let it not be responded to better gasss pooollll for change republican anies for president,positif
"good friendship when it comes to the president, i support the flow of change, anies for president",positif
"mr amir, if mr anies baswedan becomes president, please tell him to appoint mr jonan as minister of transportation again.",positif
"gasss pooollll continue for republican change, anies for president",positif
anies' replacement as president,positif
enliven residents' halal bihalal on may,negatif
"alaidid it's difficult people from now on, all parties have had difficulty finding loopholes in anies' fault where only cheating can defeat aniesin, my god, with the permission of anies the president",positif
chairul ansari explained four things that caused prabowo subianto to be ahead of ganjar pranowo and anies baswedan in prabowo subianto's presidential election stock market survey.,negatif
ahead of ganjar pranowo and anies baswedan in the stock market survey of presidential candidates for the election,negatif
i want to know who wants mr anies baswedan to become president of the republic of indonesia,positif
the figure of mahfud md is predicted to be suitable as a vice presidential candidate for anies baswedan or ganjar pranowo in the presidential election. see the complete news on politics.,positif
saewad in shaa allah sir anies baswedan president aamiin,positif
anies baswedan,positif
isc senior researcher chairul ansari explained that there are four reasons why prabowo subianto is superior to ganjar pranowo and anies baswedan in a survey of the presidential candidate market for the election,negatif
number of community groups are encouraging the presidential candidate bacapres anies baswedan to collaborate with the female vice presidential candidate bacawapres because the number of female voters is quite large in the presidential election,positif
the nasdem party has received five names of potential vice presidential candidates as companions to anies baswedan who has been officially nominated as a presidential candidate in the upcoming presidential election.,positif
palembang survey results: presidential candidate prabowo subianto succeeded in winning over anies baswedan and ganjar pranowo in musi banyuasin muba and ogan ilir oi districts.,negatif
"rather than reward pranowo and anies baswedan in a survey regarding presidential candidates for the indonesian election, prabowo subianto",negatif
the latest survey regarding the market for presidential candidates for the general election conducted by the indonesian survey center isc found that prabowo subianto was ahead of ganjar pranowo and anies baswedan.,negatif
"there is a lot of support from millennials to sir, please give your comments, who is worthy of being vice president to accompany him in indonesia's transformation into a prosperous indonesia?",positif
stated that there were four factors that made prabowo subianto superior to ganjar pranowo and anies baswedan in a survey regarding presidential candidates for the elections in indonesia,negatif
razin sd razin said sd sd rorn nng arrogant,negatif
"i didn't know that now, maybe now i want to collect barbaric skills, and later if i lose, i'll definitely say something like this again, i'm really tired.",negatif
"isn't that cool bro, you'll have a headache when you look at this picture, anies baswedan and the next president, god willing, it will come true, amen",positif
the romance between the hijriyah ministerial candidate and president anies in hijriyah,positif
that's for now bro inn shaa allah anies president because the people are smart & want change on all fronts okay,positif
indonesian survey center isc senior researcher chairul ansari reveals four reasons why prabowo subianto is superior to ganjar pranowo and anies baswedan in the presidential candidate exchange survey for prabowo subianto's election,negatif
"pay attention, isn't it ganjar anies or prabowo? the president's tarot prediction expert is of javanese descent and likes to wear poskota hats",negatif
"mahfud md is considered unsuitable to accompany anies baswedan to fight in the presidential election because he is part of the regime of president joko widodo's government. what do you think? write in the comments column, okay?",negatif
"sir mp, president jokowi's volunteers must be neutral in the presidential election. this attitude can save this nation, including jokowi's political career after stepping down from the presidential chair. if jokowi is not neutral, his fate will be threatened after retirement. imitate sby's neutral attitude at the end of his term in office.",positif
"sir mp, president jokowi's volunteers must be neutral in the presidential election. this attitude can save this nation, including jokowi's political career after stepping down from the presidential chair. if jokowi is not neutral, his fate will be threatened after retirement. imitate sby's neutral attitude at the end of his term of office.",positif
didu anies remains inaugurated as president,positif
"thank you for talking about me, anies baswedan, nex president of the republic of indonesia",positif
the most phenomenal thing is that anies refused bribes from island developers when the governor amounted to hundreds of billions. this person is unique. it's rare to find people in indonesia like him. i miss a leader like this. i hope mr. anies becomes president of the republic of indonesia.,positif
"god willing, anies will be president",positif
"inismyname yes, jokowi will become president, supported by gerindra, let alone anies",positif
"seeds of bebet, weight and clear identity, his grandfather, a freedom fighter recognized by the republic of indonesia, was given the title of hero, and his grandson, the former best governor of indonesia, completed his implementation in the year mas was appointed to become president of the republic of indonesia. the people chose",negatif
"just wait for the president, mr anies baswed, and don't panic or stress",positif
"bringing down anies baswedan is very difficult because he is honest, trustworthy and clean, god willing, anies baswedan is the president of the republic of indonesia and his demons run helter-skelter",positif
"from the comments, many people support anies, so it's clear who will be elected president in the future",positif
"if the people want indonesia to change for the better, vote for anies baswedan, but if the people want indonesia to remain as it is now, maybe even worse than now, vote for prabowo cs and his cronies.",positif
"yantobaemo yes, it's better to gasss pooollll for change in this republic, anies for president, don't be angry as usual",positif
"you're the only one who needs us, we don't need anies baswedan to replace the president. in fact, the president is still jokowi. change seems to be an opposition to laginasbubg lagicr bohir lagi. is it true that the indonesian roads that are for sale don't admit to change, instead of going up, they're just being dirty.",negatif
"the best for the president of the republic of indonesia, pak anies baswedan, who is missed by ordinary people who are sane people for sure",positif
"saewad anies president of the republic of indonesia pak prabowo is old, rest, enjoy life, don't trouble yourself",positif
i hope mr anies becomes president,positif
"in shaa allah, allah will make it easy and protect us so that pak anies can become president, aamiin",positif
fahnoor inismyname capital to become president according to anies offers a mission or idea to create steps for this republic anies offers a track record when he was governor because a vision and mission can be composed and made by someone but a track record is proof that can be tested,positif
right,negatif
samosir anies president,positif
"the minister lost at the corner when his brother, whose morals were super duper, replaced president",positif
report buying prepaid electricity tokens on pln mobile details as follows pln electricity denomination idr service fee idr payment method via va total payment idr kwh obtained so kwh price idrkwh,negatif
"ready for president, smart people to choose anies baswedan",positif
"abdillahtoha, god willing, mr. anies, president of the republic of indonesia",positif
fahnoor inismyname that person is strange bro anies just keep quiet he's wrong he's already an ordinary citizen if he gives a different opinion the other person's narrative is that the official is not giving an opinion he's not yet president he's asked for proof of change where is it strange,positif
"guess who's the president, to be honest, i consistently won't vote for him, anies, especially since he's going to get a lot of drama",positif
anies president ri,positif
"if there are some people outside of anies who support him, it is necessary to question whether they are a pro-corruption group, while anies really supports corrupt practices in indonesia. they must be eradicated and opposed because they have clearly damaged the state order and people's lives, president anies.",positif
why do anies' supporters always attack ganjar pranowo? isn't it true that until now there is not a single party that has put gansal forward as a presidential candidate?,positif
i think i'm starting to get bored of having a president who was born from the javanese tribe. later i want to have a president who was born from the sundanese tribe like bang anies who was born from kuningan west java.,positif
"thank god, the support for mas in the presidential election is present at the village level. bismillah, mas anies, the next president of the republic of indonesia, amen, sir, election volunteers, happy",positif
"romance, i support mr. anies, mr. change for president, god willing, it will be granted",positif
"god willing, mr. anies, president of the republic of indonesia, amen, rabbalalamiin",positif
"anies' turn to be president, amen",positif
get ready to loot anies president,negatif
"if all your narratives are true, my conclusion is that only one reward has been eliminated and according to you, prabowo has black marks. the only way is mr. anies baswedan who is most suitable to become president in independence.",positif
"i'm surprised that there are people who are so proud of corruptors that they are willing to pick them up and welcome them with great fanfare. in this case, criminals are even given a stage for their behavior.",negatif
"examining the results of the lsi survey, anies rasyid baswedan is superior to ganjar pranowo. the results of the lsi survey are a valuable lesson for the three names who are predicted to run in the presidential election, including for president jokowi himself, mp",positif
"hopefully for changes in the motherland in the year of anies baswedan for president, amen",positif
"gasss pooollll continue to change the motherland, anies baswedan for president",positif
"gasss pooollll continue to change the motherland, anies for president, towards a glorious indonesia",positif
gasss pooollll continue to change the motherland anies for president towards a glorious indonesia para cebong sm buzzerrp fool don't be angry,positif
"said i hope president anies appoints civil servants, amen",positif
"the comments are complete, representing my thoughts, just adding points, those who haven't yet won't necessarily be able to take part in the presidential election, even nasdem might even join the jkw team, they're afraid of anies, lol don't investigate the corruption case in the dki regional government, you'll accuse the president of being petty and short-sighted.",negatif
"whatever the level of god, our name remains anies president because the people want total change",positif
a senior researcher from the indonesian survey center stated that there were four factors that made prabowo subianto superior to ganjar pranowo and anies baswedan in a survey of presidential candidates for the indonesian election.,negatif
"gasss pooollll continue for change, mrs. anies for president",positif
let's work together and put our trust in each other so that anies baswedan doesn't become president of the republic of indonesia,positif
"sir, you are an observer and preserver of arts and culture, anies for indonesia, for a change in indonesia for the better, anies, president of arts and culture, getting more advanced, developing, going international.",positif
"gasss pooollll continue to change the motherland, anies for the president, fleas, don't be angry",positif
saewad anies is president,positif
this ismyname fahnoor thank god this year i succeeded in getting mr prabowo to become mr president jokowi's assistant. insya allah i will send mr anies to become ri. kl disono has many supporters like mr abu janda,positif
jokowi and the big coalition are afraid that anies will be the president,positif
"erdogan's invitation to countries with a majority muslim population to unite against israel's unjust terrorists, one of which is that jakarta's silence means the same as supporting what the israeli terrorists are doing against the palestinian people.",negatif
"if it looks like there's something wrong, just block it to be safe",negatif
"previously he didn't believe in surveys, now he believes that this survey is a presidential candidate who wants to rise and fall with the people, eitsss, before he falls into the pool now, that's how it is.",negatif
those who are surprised every second buzzerrp and cebong see anies baswedan for president getting more bouncy those who feel cebong sm buzzerrp are stupid don't be angry,positif
"for me, it's normal to take selfies and pray. i want change in this republic. i support president anies",positif
"believe me, o tadpole and kadrun, the years until the end of the world, the president of the republic of indonesia is not anies, not gangar, not prabowo, but the president of the republic of indonesia is an inspiration for aidit, like that",negatif
nakula anakkolong lasan chotimah sauya nbyl yantie not only world cup bokeptik tok ektp and many others only anies rasyid baswedan is worthy of being president,positif
